Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.194-138.113.157.158-50118-443-6,192.168.0.194,50118,138.113.157.158,443,6,25/02/2026 03:45:48 PM,64316774,80,75,12105.0,20648.0,1460.0,0.0,151.31250000000006,193.1663278667351,1460.0,0.0,275.30666666666656,369.81964096955,509.24506879029724,2.4099467426646743,417641.3896103896,3815746.140532738,4.5000975E7,0.0,6.4316706E7,814135.5189873418,5314529.133910142,4.5000975E7,0.0,6.4283805E7,868700.0675675676,5491069.555548392,4.502601E7,0.0,0,0,0,0,1648,1524,1.2438434800849931,1.166103262579681,0.0,1460.0,209.95512820512823,297.3862556849358,88438.585070306,1,2,0,92,154,0,0,0,0.0,211.30967741935484,151.3125,275.3066666666667,0,0,0,16344,47,15812,26,4035,25,6882,65535,524,58,20,2169722.0,3033157.1653166935,4314488.0,24956.0,2.99885745E7,2.1230740390876632E7,4.5000975E7,1.4976174E7,NeedManualLabel
192.168.0.194-40.71.11.145-57949-443-6,192.168.0.194,57949,40.71.11.145,443,6,25/02/2026 03:44:13 PM,119514427,21,33,3231.0,26882.0,1440.0,0.0,153.85714285714292,339.81528595904655,1460.0,0.0,814.6060606060605,684.9729894033203,251.96121301740416,0.45182829684653886,2254989.1886792453,9336358.012869285,4.5010913E7,0.0,1.19261964E8,5963098.199999999,1.4715124286266819E7,4.526832E7,0.0,1.19248473E8,3726514.78125,1.1936572461605009E7,4.5268465E7,0.0,0,0,0,0,432,696,0.17571100432920955,0.2761172925173293,0.0,1460.0,547.509090909091,655.9092606825722,430216.95824915834,0,2,0,21,53,0,0,0,1.0,557.6481481481482,153.85714285714286,814.6060606060606,0,0,0,15055,18,22577,7,1077,11,8960,65535,16379,11,20,619784.3333333334,637772.1812687767,1356189.0,245710.0,3.9134203666666664E7,1.0178718443480708E7,4.5010913E7,2.7380832E7,NeedManualLabel
192.168.0.194-40.71.11.145-57949-443-6,192.168.0.194,57949,40.71.11.145,443,6,25/02/2026 03:46:55 PM,1287,2,1,39.0,0.0,39.0,0.0,19.5,27.577164466275352,0.0,0.0,0.0,0.0,30303.030303030304,2331.002331002331,643.5,26.16295090390226,662.0,625.0,625.0,625.0,0.0,625.0,625.0,0,0,0,0,0,1,0,0,0,40,20,1554.001554001554,777.000777000777,0.0,39.0,19.5,22.516660498395403,507.0,2,0,0,1,3,0,0,0,0.0,26.0,19.5,0.0,0,0,0,0,0,0,0,0,0,0,16379,16379,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.194-142.251.222.163-61951-443-6,192.168.0.194,61951,142.251.222.163,443,6,25/02/2026 03:46:17 PM,37823071,2,3,1.0,73.0,1.0,0.0,0.5,0.7071067811865476,73.0,0.0,24.333333333333336,42.14656965084268,1.956477833330879,0.13219444819803236,9455767.75,1.8866207334737975E7,3.7755067E7,244.0,3.7797334E7,3.7797334E7,0.0,3.7797334E7,3.7797334E7,3.7781048E7,1.8890524E7,2.6678492558570433E7,3.7755067E7,25981.0,0,0,0,0,40,72,0.052877779279212944,0.07931666891881942,0.0,73.0,12.5,29.642874354556106,878.7,2,0,0,1,5,0,0,0,1.0,15.0,0.5,24.333333333333332,0,0,0,0,0,0,2,1,3,73,1023,1045,0,20,42023.0,0.0,42023.0,42023.0,3.7755067E7,0.0,3.7755067E7,3.7755067E7,NeedManualLabel
192.168.0.194-151.101.194.217-56519-443-6,192.168.0.194,56519,151.101.194.217,443,6,25/02/2026 03:44:12 PM,119798880,46,102,3388.0,108903.0,1460.0,0.0,73.6521739130435,229.30912831481965,1460.0,0.0,1067.6764705882358,629.8213664987169,937.3292972355,1.2354038702198218,814958.3673469388,5736562.301233236,4.5000786E7,0.0,1.19750377E8,2661119.488888889,1.0209845572238548E7,4.5034675E7,0.0,1.19711955E8,1185266.8811881188,6908194.232141296,4.5049289E7,0.0,0,0,0,0,932,2076,0.3839768785818365,0.8514269916379853,0.0,1460.0,753.6308724832213,708.6680058771972,502210.34255396324,0,2,0,61,147,0,0,0,2.0,758.722972972973,73.65217391304348,1067.6764705882354,0,0,0,56144,50,298141,15,1129,34,36301,65535,304,17,20,179698.6666666667,197560.99836843638,404541.0,33889.0,3.9737093666666664E7,9085168.65004367,4.5000786E7,2.9246466E7,NeedManualLabel
192.168.0.194-142.250.77.100-62538-443-6,192.168.0.194,62538,142.250.77.100,443,6,25/02/2026 03:46:29 PM,32643043,2,3,1.0,73.0,1.0,0.0,0.5,0.7071067811865476,73.0,0.0,24.333333333333336,42.14656965084268,2.266945517303641,0.1531719944124082,8160760.750000001,1.6295735470194308E7,3.260436E7,310.0,3.2620673E7,3.2620673E7,0.0,3.2620673E7,3.2620673E7,3.262704E7,1.631352E7,2.3038726870450113E7,3.260436E7,22680.0,0,0,0,0,40,72,0.06126879776496327,0.09190319664744491,0.0,73.0,12.5,29.642874354556106,878.7,2,0,0,1,5,0,0,0,1.0,15.0,0.5,24.333333333333332,0,0,0,0,0,0,2,1,3,73,253,1045,0,20,16003.0,0.0,16003.0,16003.0,3.260436E7,0.0,3.260436E7,3.260436E7,NeedManualLabel
192.168.0.194-192.168.0.132-57076-1404-6,192.168.0.194,57076,192.168.0.132,1404,6,25/02/2026 03:47:04 PM,68468,5,5,164.0,1434.0,164.0,0.0,32.8,73.3430296619931,1225.0,0.0,286.8,532.2205369957081,23339.370216743588,146.053630893264,7607.555555555556,17782.31973134489,54764.0,0.0,64571.0,16142.75,25838.057916892023,54764.0,233.0,64137.0,16034.25,28545.01464208184,58755.0,0.0,0,0,0,0,112,112,73.026815446632,73.026815446632,0.0,1225.0,145.27272727272725,365.9311659066746,133905.61818181822,2,2,0,3,9,0,0,0,1.0,159.8,32.8,286.8,0,0,0,0,0,0,0,0,0,0,65535,501,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.194-192.168.0.132-57077-36866-6,192.168.0.194,57077,192.168.0.132,36866,6,25/02/2026 03:47:04 PM,116604,5,4,194.0,1023.0,194.0,0.0,38.8,86.75943752699185,1023.0,0.0,255.75,511.5,10437.034750094337,77.18431614695893,14575.500000000002,23309.743272472384,56194.0,94.0,111239.0,27809.75,53055.358424793754,107355.0,94.0,113218.0,37739.333333333336,30298.398147976954,61653.0,3667.0,0,0,0,0,112,92,42.88017563719941,34.30414050975953,0.0,1023.0,121.69999999999997,322.4999741602057,104006.23333333334,2,2,0,2,8,0,0,0,0.0,135.22222222222223,38.8,255.75,0,0,0,0,0,0,0,0,0,0,65535,501,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.194-142.251.222.163-58689-443-6,192.168.0.194,58689,142.251.222.163,443,6,25/02/2026 03:46:24 PM,40230441,2,3,1.0,73.0,1.0,0.0,0.5,0.7071067811865476,73.0,0.0,24.333333333333336,42.14656965084268,1.8394031524536358,0.12428399678740783,1.005761025E7,2.0085661776312266E7,4.0186099E7,401.0,4.0209943E7,4.0209943E7,0.0,4.0209943E7,4.0209943E7,4.0206998E7,2.0103499E7,2.840108528771392E7,4.0186099E7,20899.0,0,0,0,0,40,72,0.04971359871496313,0.0745703980724447,0.0,73.0,12.5,29.642874354556106,878.7,2,0,0,1,5,0,0,0,1.0,15.0,0.5,24.333333333333332,0,0,0,0,0,0,2,1,3,73,253,1045,0,20,23443.0,0.0,23443.0,23443.0,4.0186099E7,0.0,4.0186099E7,4.0186099E7,NeedManualLabel
192.168.0.194-129.227.206.251-64252-443-6,192.168.0.194,64252,129.227.206.251,443,6,25/02/2026 03:46:20 PM,45046799,2,1,1.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.02219913561449727,0.06659740684349182,2.25233995E7,3.1791054898778375E7,4.500307E7,43729.0,4.500307E7,4.500307E7,0.0,4.500307E7,4.500307E7,0,0,0,0,0,0,0,0,0,40,20,0.04439827122899454,0.02219913561449727,0.0,1.0,0.25,0.5,0.25,0,0,1,0,2,0,0,0,0.0,0.3333333333333333,0.5,0.0,0,0,0,0,0,0,2,1,1,0,253,0,1,20,0,0,0,0,4.500307E7,0.0,4.500307E7,4.500307E7,NeedManualLabel
192.168.0.194-129.227.206.1-52770-443-6,192.168.0.194,52770,129.227.206.1,443,6,25/02/2026 03:46:21 PM,45054446,2,1,1.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.022195367800105677,0.06658610340031704,2.2527223E7,3.1799685137042757E7,4.5012996E7,41450.0,4.5012996E7,4.5012996E7,0.0,4.5012996E7,4.5012996E7,0,0,0,0,0,0,0,0,0,40,20,0.04439073560021135,0.022195367800105677,0.0,1.0,0.25,0.5,0.25,0,0,1,0,2,0,0,0,0.0,0.3333333333333333,0.5,0.0,0,0,0,0,0,0,2,1,1,0,253,0,1,20,0,0,0,0,4.5012996E7,0.0,4.5012996E7,4.5012996E7,NeedManualLabel
192.168.0.194-140.82.113.21-57832-443-6,192.168.0.194,57832,140.82.113.21,443,6,25/02/2026 03:46:22 PM,45250955,2,1,1.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.022098981115426183,0.06629694334627856,2.26254775E7,3.165118634903255E7,4.5006246E7,244709.0,4.5006246E7,4.5006246E7,0.0,4.5006246E7,4.5006246E7,0,0,0,0,0,0,0,0,0,40,20,0.044197962230852365,0.022098981115426183,0.0,1.0,0.25,0.5,0.25,0,0,1,0,2,0,0,0,0.0,0.3333333333333333,0.5,0.0,0,0,0,0,0,0,2,1,1,0,255,0,1,20,0,0,0,0,4.5006246E7,0.0,4.5006246E7,4.5006246E7,NeedManualLabel
192.168.0.194-4.213.25.240-49475-443-6,192.168.0.194,49475,4.213.25.240,443,6,25/02/2026 03:43:03 PM,80743,2,1,101.0,171.0,101.0,0.0,50.5,71.4177848998413,171.0,171.0,171.0,0.0,3368.713077294626,37.15492364663191,40371.5,2578.8184309873386,42195.0,38548.0,80743.0,80743.0,0.0,80743.0,80743.0,0,0,0,0,0,1,0,0,0,40,20,24.769949097754605,12.384974548877302,0.0,171.0,93.25,70.38169743145822,4953.583333333333,0,0,0,2,3,0,0,0,0.0,124.33333333333333,50.5,171.0,0,0,0,0,0,0,0,0,0,0,250,8192,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.194-151.101.193.140-50085-443-6,192.168.0.194,50085,151.101.193.140,443,6,25/02/2026 03:44:52 PM,91029944,197,463,5424.0,654972.0,1460.0,0.0,27.532994923857867,167.13209726558458,1460.0,0.0,1414.626349892008,245.5387677950828,7254.711702338299,7.250361485447031,138133.4506828528,2477574.6814499195,4.5011414E7,0.0,9.0975768E7,464162.0816326531,4535785.064639242,4.5038096E7,0.0,9.0976368E7,196918.54545454547,2960702.050743924,4.506559E7,0.0,0,0,0,0,3952,9296,2.1641230494440378,5.086238436002993,0.0,1460.0,999.0862329803336,674.4537431458994,454887.8516435147,0,2,0,222,659,0,0,0,2.0,1000.6,27.532994923857867,1414.6263498920086,0,0,0,660394,464,753421,98,2712,231,327486,65535,319,13,20,479400.0,640239.9355304228,932118.0,26682.0,4.5008484E7,4143.645737753169,4.5011414E7,4.5005554E7,NeedManualLabel
